query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.02,1354844467617,1354844467617,1354844467622,0,0,0,0,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.04,1354844468881,1354844468881,1354844468886,0,0,0,0,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.06,1354844470135,1354844470135,1354844470139,0,0,0,0,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.08,1354844471415,1354844471416,1354844471421,0,0,0,0,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.1,1354844472725,1354844472725,1354844472730,0,0,0,0,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.2,1354844474012,1354844474012,1354844474018,0,0,0,0,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.4,1354844475299,1354844475299,1354844475304,0,0,0,0,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.6,1354844476596,1354844476596,1354844476602,3,6,102,0,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.8,1354844477969,1354844477972,1354844477977,3,6,102,0,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,1.0,1354844479204,1354844479205,1354844479210,3,6,102,0,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,2.0,1354844480484,1354844480485,1354844480488,5,24,103,10,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,3.0,1354844481699,1354844481701,1354844481706,7,46,103,26,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,4.0,1354844483030,1354844483032,1354844483038,9,75,103,47,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,5.0,1354844484323,1354844484325,1354844484332,11,116,103,73,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,6.0,1354844485638,1354844485641,1354844485650,13,168,103,116,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,8.0,1354844486989,1354844486996,1354844487005,17,287,103,203,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,10.0,1354844488261,1354844488267,1354844488275,21,444,103,324,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,12.0,1354844489602,1354844489618,1354844489632,25,622,103,473,localhost.localdomain:58747,bixi.raster.1,,1354844232353.26ae2f122c704d2e000e0d973a3685af.
